Datetime,Temperature (°C),Relative Humidity (%),Precipitation (mm),Wind Speed (m/s),Wind Direction (degrees),Cloud Coverage (%),Thunderstorm Occurrence
2024-05-06 15:00:00,40.8,14,0.0,4.11,274,6,No
2024-05-06 16:00:00,40.6,13,0.0,4.22,276,6,No
2024-05-06 17:00:00,40.5,13,0.0,4.34,278,6,No
2024-05-06 18:00:00,39.3,14,0.0,4.55,275,5,No
2024-05-06 19:00:00,38.1,15,0.0,4.75,273,4,No
2024-05-06 20:00:00,36.9,16,0.0,4.95,270,3,No
2024-05-06 21:00:00,36.1,17,0.0,5.15,276,2,No
2024-05-06 22:00:00,35.4,19,0.0,5.34,281,1,No
2024-05-06 23:00:00,34.6,20,0.0,5.53,286,0,No
2024-05-07 00:00:00,34.0,21,0.0,5.81,285,0,No
2024-05-07 01:00:00,33.3,23,0.0,6.09,284,0,No
2024-05-07 02:00:00,32.7,24,0.0,6.37,283,0,No
2024-05-07 03:00:00,31.7,28,0.0,6.66,284,0,No
2024-05-07 04:00:00,30.8,32,0.0,6.95,284,0,No
2024-05-07 05:00:00,29.9,36,0.0,7.25,285,0,No
2024-05-07 06:00:00,31.2,34,0.0,7.15,290,1,No
2024-05-07 07:00:00,32.5,33,0.0,7.06,296,2,No
2024-05-07 08:00:00,33.8,31,0.0,6.97,301,3,No
2024-05-07 09:00:00,35.5,27,0.0,6.37,302,2,No
2024-05-07 10:00:00,37.3,24,0.0,5.77,303,1,No
2024-05-07 11:00:00,39.0,20,0.0,5.17,303,0,No
2024-05-07 12:00:00,39.7,18,0.0,4.98,300,0,No
2024-05-07 13:00:00,40.5,17,0.0,4.79,297,0,No
2024-05-07 14:00:00,41.2,15,0.0,4.6,294,0,No
2024-05-07 15:00:00,41.1,15,0.0,4.47,291,6,No
2024-05-07 16:00:00,40.9,14,0.0,4.34,289,13,No
2024-05-07 17:00:00,40.8,14,0.0,4.2,286,19,No
2024-05-07 18:00:00,39.7,16,0.048611116,5.01,289,23,No
2024-05-07 19:00:00,38.5,17,0.09722223,5.82,292,28,No
2024-05-07 20:00:00,37.4,19,0.14583333,6.62,296,32,No
2024-05-07 21:00:00,36.1,22,0.09722223,6.5,300,28,No
2024-05-07 22:00:00,34.8,24,0.048611116,6.38,304,24,No
2024-05-07 23:00:00,33.6,27,0.0,6.26,309,20,No
2024-05-08 00:00:00,32.7,28,0.0,5.08,306,46,No
2024-05-08 01:00:00,31.8,29,0.0,3.9,304,72,No
2024-05-08 02:00:00,30.9,30,0.0,2.73,301,98,No
2024-05-08 03:00:00,31.3,30,0.0,3.68,292,99,No
2024-05-08 04:00:00,31.6,31,0.0,4.64,282,99,No
2024-05-08 05:00:00,32.0,31,0.0,5.59,273,100,No
2024-05-08 06:00:00,32.2,29,0.0,4.96,277,72,No
2024-05-08 07:00:00,32.5,28,0.0,4.32,282,45,No
2024-05-08 08:00:00,32.7,26,0.0,3.68,286,17,No
2024-05-08 09:00:00,34.6,24,0.0,3.75,291,25,No
2024-05-08 10:00:00,36.5,21,0.0,3.82,295,32,No
2024-05-08 11:00:00,38.3,19,0.0,3.89,300,40,No
2024-05-08 12:00:00,39.1,18,0.0,3.78,301,28,No
2024-05-08 13:00:00,39.9,16,0.0,3.66,302,16,No
2024-05-08 14:00:00,40.7,15,0.0,3.54,303,4,No
2024-05-08 15:00:00,40.6,15,0.0,2.69,306,3,No
2024-05-08 16:00:00,40.5,14,0.0,1.83,309,3,No
2024-05-08 17:00:00,40.5,14,0.0,0.97,312,3,No
2024-05-08 18:00:00,39.0,16,0.0,1.3,285,2,No
2024-05-08 19:00:00,37.5,17,0.0,1.63,258,2,No
2024-05-08 20:00:00,36.0,19,0.0,1.95,231,1,No
2024-05-08 21:00:00,35.7,19,0.0,2.64,244,2,No
2024-05-08 22:00:00,35.5,20,0.0,3.33,258,2,No
2024-05-08 23:00:00,35.3,20,0.0,4.02,271,2,No
2024-05-09 00:00:00,34.6,21,0.0,5.7,276,2,No
